BENNER,ESTOQUE,ANAMNESE,MICRO,MONITO,MOUSE,ACESS,ERRO,IMPRESSORA,SIHOSP,TEMPO
0,0,0,4.19,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,4.18,0,MAIOR 4H
0,0,0,4.03,0,0,0,0,0,0,MAIOR 4H
0,0,0,2.98,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,5.93,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,1.04,0,0,1-2H
0,0,0,4.19,0,0,0,0,0,0,MAIOR 4H
0,0,0,2.92,0,0,0,0,0,0,2-4H
2.85,0,0,0,0,0,2.85,0,0,2.85,2-4H
0,0,0,0,0,0,2.66,0,0,2.66,2-4H
0,0,0,0,0,0,6.03,0,0,0,MAIOR 4H
0,0,0,0,6.97,0,0,0,0,0,MAIOR 4H
0,0,0,1.03,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,1.15,0,1-2H
7.03,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,2.86,0,0,2.86,2-4H
0,0,0,10.11,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,4.76,0,0,MAIOR 4H
0,0,0,0,0,0,0,4.29,0,0,MAIOR 4H
0,0,0,10.59,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,1.19,0,0,1-2H
0,0,0,0,0,0,0,0,1.07,0,1-2H
2.18,0,0,0,0,0,0,0,0,0,2-4H
3.1,0,0,0,0,0,0,0,0,3.1,2-4H
0,0,0,0,0,0,0,0,2.25,0,2-4H
0,0,0,0,6.02,0,0,0,0,0,MAIOR 4H
0,0,0,1.88,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,4.84,0,MAIOR 4H
0,0,0,1.11,0,0,0,0,0,0,1-2H
0,0,0,11.11,0,0,0,0,0,0,MAIOR 4H
6.21,0,0,0,0,0,0,0,0,0,MAIOR 4H
1.22,0,0,0,0,0,0,1.22,0,0,1-2H
10.72,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,1.22,0,1.22,0,0,0,0,1-2H
3.09,3.09,0,0,0,0,3.09,0,0,0,2-4H
0,0,0,0,0,0,0,0,1.81,0,1-2H
0,0,5.24,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,1.11,0,0,0,0,1.11,0,1-2H
0,0,0,0,0,0,0,8.78,0,0,MAIOR 4H
0,0,0,2.02,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,0,8.12,MAIOR 4H
1.24,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,6.02,0,MAIOR 4H
1.1,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,3.37,0,0,0,0,0,0,2-4H
0,0,0,0,5.19,0,0,0,0,0,MAIOR 4H
0,0,0,3.21,0,0,0,0,0,0,2-4H
0,0,0,3.13,0,0,0,0,0,0,2-4H
0,0,0,2.9,0,0,0,0,0,0,2-4H
0,0,0,2.79,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,7.21,0,0,7.21,MAIOR 4H
0,0,0,4.05,0,0,0,0,0,0,MAIOR 4H
0,3.83,0,0,0,0,0,3.83,0,0,2-4H
0,0,0,0,0,0,0,0,3.81,0,2-4H
0,0,0,0,0,0,0,0,2.96,0,2-4H
0,0,1.14,0,0,0,0,0,0,0,1-2H
0,0,0,7.89,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,3.87,0,0,2-4H
0,0,0,7.96,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,10.92,0,0,0,MAIOR 4H
0,1.04,0,0,0,0,0,1.04,0,0,1-2H
4.19,0,0,0,0,0,0,4.19,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,5.88,0,MAIOR 4H
1.1,0,0,0,0,0,1.1,0,0,0,1-2H
0,0,0,0,0,0,6.91,0,0,0,MAIOR 4H
0,0,0,4.2,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,4.23,MAIOR 4H
0,0,0,5.84,0,0,0,5.84,5.84,0,MAIOR 4H
0,0,0,4.97,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,1.02,0,0,1.02,1-2H
0,0,0,0,0,0,0,0,0,2.13,2-4H
0,0,0,0,0,0,0,0,7.15,0,MAIOR 4H
0,0,0,0,5.06,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,5.1,0,MAIOR 4H
0,0,0,0,0,0,1.08,0,0,0,1-2H
7.09,0,0,0,0,0,0,7.09,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,11.25,0,MAIOR 4H
3.97,0,0,0,0,0,0,3.97,0,0,2-4H
0,0,0,1.24,0,0,0,0,0,0,1-2H
0,0,0,0,10.19,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,8.1,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.35,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.2,0,MAIOR 4H
0,0,0,1.02,0,0,1.02,0,0,0,1-2H
0,0,0,0,0,0,1.18,0,0,1.18,1-2H
1.13,0,0,0,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,1.13,0,0,1-2H
