BENNER,ESTOQUE,ANAMNESE,MICRO,MONITO,MOUSE,ACESS,ERRO,IMPRESSORA,SIHOSP,TEMPO
0,0,0,0,0,0,0,0,0,0,2,182708333
0,0,0,0,0,1,0,0,0,0,1,039895833
0,0,0,0,0,0,1,0,0,0,6,064375
0,0,0,0,0,0,0,0,0,0,5,145543981
0,0,0,0,0,0,0,1,0,0,0,768506944
0,0,0,1,0,0,0,0,0,0,0,832719907
0,0,0,0,0,0,0,0,0,0,2,771041667
0,0,0,0,0,0,0,0,0,0,3,782118056
0,0,0,0,0,0,0,0,0,0,1,19568287
0,0,0,0,0,0,0,0,0,1,0,913888889
0,0,0,0,0,0,0,0,0,0,79,15085648
0,0,0,0,0,0,0,0,0,0,427,3134028
0,0,0,0,0,0,0,0,0,0,0,793125
0,0,0,0,0,0,0,0,0,0,34,90018519
0,0,0,0,0,0,0,0,1,0,1,202581019
0,0,0,0,0,0,0,0,0,0,1,91025463
1,0,0,0,0,0,0,0,0,0,0,185613426
0,0,0,1,0,0,0,0,0,0,0,906956019
0,0,0,0,0,0,1,0,0,0,0,693645833
0,0,0,1,0,0,0,0,0,0,0,919050926
0,0,0,0,0,0,0,0,0,0,4,003657407
0,0,0,1,0,0,0,0,0,0,1,024097222
0,0,0,0,0,0,0,0,0,0,1,03724537
0,0,0,0,0,0,0,0,0,1,2,006018519
0,0,0,0,0,0,0,0,0,0,2,222928241
0,0,0,0,0,0,0,0,0,0,15,97527778
0,0,0,0,0,0,0,0,0,0,0,920983796
0,0,0,0,0,0,1,0,0,0,4,169768519
0,0,0,0,0,0,0,0,0,1,35,7243287
0,0,0,0,0,0,0,0,0,0,3,13462963
0,0,0,0,0,0,0,0,0,0,0,054525463
0,0,0,0,0,0,0,0,0,0,21,26148148
0,0,0,0,0,0,0,0,0,0,0,050243056
0,0,0,0,0,0,0,0,0,0,0,308912037
0,0,0,0,0,0,0,0,0,0,0,988391204
0,0,0,0,0,0,0,0,0,0,8,158090278
0,0,0,0,1,0,0,0,0,0,132,5833333
0,0,0,0,0,0,0,0,0,0,0,243171296
0,0,0,1,0,0,0,0,1,0,3,999097222
0,0,0,0,0,0,0,0,0,0,0,948993056
1,0,0,0,0,0,0,0,0,0,22,18547454
0,0,0,0,0,0,0,0,0,0,1,049976852
0,0,0,0,0,0,0,0,0,0,1,053078704
0,1,0,0,0,0,0,0,0,0,1,965462963
0,0,0,0,0,0,0,0,0,0,0,757233796
0,0,0,0,0,0,0,0,0,0,0,180833333
0,0,0,0,0,0,0,0,0,0,0,999548611
1,0,0,1,0,0,0,0,0,0,7,926273148
1,0,0,1,0,0,0,0,0,0,0,09119213
0,0,0,0,0,0,0,0,0,0,5,04744213
0,0,0,0,0,0,0,0,0,0,168,9531829
0,0,0,0,0,0,0,0,0,0,0,78212963
0,0,0,0,0,0,0,0,0,0,10,16767361
0,0,0,0,0,0,0,0,0,0,1,029988426
0,0,0,0,0,0,0,0,0,0,0,841041667
0,0,0,1,0,0,0,0,0,0,3,001203704
0,0,0,0,0,0,0,0,0,0,34,02283565
0,0,0,0,0,0,1,0,0,0,2,005416667
0,0,0,0,0,0,0,0,0,0,58,28423611
0,0,0,0,0,0,0,0,0,0,0,192604167
0,0,0,0,0,0,0,0,0,0,0,141064815
0,0,0,0,0,0,0,0,0,0,32,85498843
0,0,0,0,0,0,0,1,0,0,0,001770833
0,0,0,0,0,0,0,0,0,0,34,98778935
0,0,0,0,0,0,0,0,0,0,34,98027778
0,0,0,1,0,0,0,0,0,0,0,146631944
0,0,0,0,0,0,0,0,1,0,0,197164352
0,0,0,0,0,0,0,0,1,0,0,984444444
0,0,0,0,0,0,0,0,0,0,16,90739583
0,0,0,0,0,0,0,0,0,0,1,836875
1,0,0,0,0,0,0,0,0,0,5,92693287
0,0,0,0,0,0,0,0,0,0,34,92077546
0,0,0,0,0,0,0,0,0,0,3,282199074
0,0,0,0,0,0,0,0,0,0,0,276238426
0,0,0,1,0,0,0,0,1,0,2,785752315
0,0,0,0,0,0,0,0,0,0,0,933958333
0,0,0,0,0,0,0,0,0,0,10,69078704
0,0,0,0,0,0,0,0,0,0,9,690648148
0,0,0,0,0,0,0,0,0,0,8,690486111
0,0,0,0,0,0,0,0,0,0,7,688449074
0,0,0,0,0,0,0,0,0,0,6,687511574
0,0,0,0,0,0,0,0,0,0,8,243854167
0,0,0,0,0,0,0,1,0,0,0,039039352
0,0,0,1,0,0,0,0,0,0,26,9883912
0,0,0,1,0,1,0,0,0,0,1,816597222
1,0,0,0,0,0,1,0,0,0,0,830729167
0,0,0,0,0,0,0,0,0,0,8,098576389
0,0,0,0,0,0,0,0,0,0,9,850138889
0,0,0,0,0,0,1,0,0,0,9,848449074
0,0,0,0,0,0,0,0,0,0,9,835659722
0,0,0,0,0,0,0,0,0,0,2,996215278
0,0,0,0,0,0,0,0,0,0,76,77704861
0,0,0,0,0,0,1,0,0,0,0,705300926
0,0,0,0,0,0,0,0,0,0,1,639988426
0,0,0,0,0,0,0,0,0,0,0,027083333
0,0,0,1,0,0,0,0,0,0,0,087280093
0,0,0,1,0,0,0,0,1,0,0,086388889
0,0,0,0,0,0,0,0,0,0,0,806516204
0,0,0,0,0,0,0,0,1,0,3,133148148
0,0,0,0,0,0,0,0,0,0,3,057604167
0,0,0,1,0,0,0,0,0,1,3,318611111
0,0,0,0,0,0,0,0,0,1,1,021354167
1,0,0,0,0,0,0,0,0,1,3,723506944
0,0,0,0,0,0,0,0,0,0,8,069155093
0,0,0,0,0,0,0,0,0,0,26,72667824
0,0,0,0,0,0,0,0,0,0,3,057418981
0,0,0,1,0,0,0,0,0,0,3,232858796
0,0,0,0,0,0,0,0,0,0,423,304213
0,0,0,0,0,0,0,0,0,0,2,832372685
0,0,0,0,0,0,0,0,1,0,7,060428241
0,0,0,0,0,0,0,0,0,0,0,002835648
0,0,0,0,0,0,0,0,0,0,1,173159722
0,0,0,0,0,0,0,0,0,0,1,170243056
0,0,0,0,0,0,0,0,0,0,0,221261574
1,0,0,0,0,0,0,1,0,0,7,152523148
0,0,0,0,0,0,0,1,0,0,4,07125
0,0,0,1,0,1,0,0,0,0,1,831064815
0,0,0,1,0,0,0,0,0,0,0,101134259
0,0,0,1,0,0,0,0,0,0,8,086550926
0,0,0,1,0,0,0,0,0,0,10,73143519
0,0,0,0,0,0,1,0,0,0,3,12587963
0,0,0,0,0,0,0,0,0,0,9,014456019
0,0,0,0,0,0,0,0,0,0,0,142013889
0,0,0,0,0,0,0,0,0,0,28,09766204
0,0,0,0,0,0,0,0,0,0,2,85224537
0,0,0,0,0,0,0,0,0,0,27,84289352
0,0,0,0,0,0,0,0,0,0,6,961122685
0,0,0,0,1,0,0,0,0,0,4,023657407
0,0,0,0,1,0,0,0,0,0,0,02693287
0,0,0,0,0,0,0,0,0,0,0,966319444
0,0,0,0,0,0,0,0,0,0,0,023819444
0,0,0,0,0,0,0,0,0,0,0,017858796
0,0,0,0,0,0,0,0,0,0,1,107650463
0,0,0,0,0,0,0,0,0,0,346,4087153
0,0,0,0,0,0,0,0,0,0,1,048796296
0,0,0,0,0,0,0,0,0,0,346,4087153
0,0,0,0,0,0,0,0,0,0,144,3412616
0,0,0,0,0,0,0,0,0,0,17,69679398
0,0,0,0,0,0,0,0,0,0,16,69663194
0,0,0,0,0,0,0,0,0,0,15,69648148
0,0,0,0,0,0,0,0,0,0,14,69635417
0,0,0,0,0,0,0,0,0,0,13,69621528
0,0,0,0,0,0,0,0,0,0,12,69607639
0,0,0,0,0,0,0,0,0,0,11,69591435
0,0,0,0,0,0,0,0,0,0,10,69575231
0,0,0,0,0,0,0,0,0,0,9,695590278
0,0,0,0,0,0,0,0,0,0,8,695451389
0,0,0,0,0,0,0,0,0,0,7,695324074
0,0,0,0,0,0,0,0,0,0,6,695196759
0,0,0,0,0,0,0,0,0,0,5,69505787
0,0,0,0,0,0,0,0,0,0,4,694930556
0,0,0,0,0,0,0,0,0,0,3,694652778
0,0,0,0,0,0,0,0,0,0,2,694791667
0,0,0,0,0,0,0,0,0,0,1,694490741
0,0,0,0,0,0,0,0,0,0,0,693333333
0,0,0,0,0,0,0,0,0,0,72,66921296
0,0,0,0,0,0,0,0,0,0,71,66908565
0,0,0,0,0,0,0,0,0,0,70,66891204
0,0,0,0,0,0,0,0,0,0,15,69311343
0,0,0,0,0,0,0,0,0,0,14,69291667
0,0,0,0,0,0,0,0,0,0,13,69221065
0,0,0,0,0,0,0,0,0,0,12,69155093
0,0,0,0,0,0,0,0,0,0,11,6909375
0,0,0,0,0,0,0,0,0,0,1,896527778
0,0,0,0,0,0,0,0,0,0,3,154733796
0,0,0,0,0,0,0,0,0,0,4,191145833
0,0,0,0,0,0,0,0,0,0,1,240173611
0,0,0,0,0,0,0,0,0,0,148,7829861
0,0,0,0,0,0,0,0,0,0,8,073842593
0,0,0,0,0,0,0,0,0,0,8,07369213
0,0,0,0,0,0,0,0,0,0,3,040902778
0,0,0,0,0,0,0,0,0,0,2,851886574
0,0,0,0,0,0,0,0,1,0,26,87158565
0,0,0,1,0,0,0,0,0,0,0,010462963
0,0,0,1,0,0,0,0,0,0,23,9790625
0,0,0,0,0,0,0,1,0,0,23,9669213
