TEMPO,NRO_IMPACTO,NRO_AVALIACAO,TIPO
7.21,4,-6,MICRO
1.8,4,6,SIHOSP
2.03,4,6,MICRO
1.06,3,6,SIHOSP
2.02,4,6,IMPRESSORA
9.09,0,6,ERRO
1.02,4,6,SIHOSP
2.22,4,6,IMPRESSORA
11.88,4,6,IMPRESSORA
10.87,0,6,BENNER
2.02,4,6,MICRO
1.84,4,6,ERRO
3.05,4,6,MICRO
6.14,4,6,IMPRESSORA
1.91,4,6,SIHOSP
4.17,4,6,ACESSO
1.16,4,6,SIHOSP
7.29,4,6,IMPRESSORA
2.13,4,6,MICRO
2.2,4,6,MICRO
1.01,4,6,MICRO
2.95,4,6,MICRO
1.1,4,6,ERRO
6.12,4,6,IMPRESSORA
6.99,4,6,MICRO
1.18,4,6,SIHOSP
2.84,4,6,ACESSO
3,4,6,MICRO
8.14,4,6,MICRO
9.32,4,6,BENNER
5.13,4,6,MICRO
4.73,4,6,MICRO
4.68,4,6,ERRO
1.76,4,6,MICRO
3.92,4,6,MICRO
1.8,4,6,MICRO
1.93,4,6,MICRO
4.32,4,6,MICRO
2.94,4,6,MICRO
2.86,4,6,SIHOSP
1.25,4,6,MICRO
6.21,4,6,MICRO
3.22,4,6,SIHOSP
1.26,4,6,ACESSO
5.29,3,6,ERRO
1.07,3,6,MICRO
10.64,0,6,ERRO
6.77,4,6,MICRO
5.98,4,6,SIHOSP
7.11,4,6,MICRO
6.76,0,-6,ERRO
6.15,4,6,BENNER
6.19,3,6,ERRO
2.93,4,6,SIHOSP
3.04,0,6,ERRO
1.17,0,-6,ERRO
3.15,3,6,IMPRESSORA
1.07,4,6,MICRO
10.22,0,6,ERRO
9.97,4,6,MICRO
5.93,4,6,MICRO
9.88,3,6,IMPRESSORA
1.26,0,6,BENNER
8.18,4,6,MICRO
3.05,4,6,IMPRESSORA
5.08,4,6,MICRO
4.02,4,6,IMPRESSORA
10.14,0,6,ERRO
6,4,6,BENNER
4.95,1,6,BENNER
5.78,4,6,MICRO
1.14,4,6,MICRO
1.04,4,6,BENNER
3.02,4,6,IMPRESSORA
3.02,4,6,MICRO
1.71,4,6,ERRO
5.34,4,6,IMPRESSORA
7.34,4,6,IMPRESSORA
8.04,4,6,BENNER
1.96,4,6,BENNER
6.88,4,6,MICRO
1.94,4,6,ACESSO
1.98,4,6,SIHOSP
2.01,4,6,ERRO
4.76,0,6,ERRO
8.04,4,6,MICRO
1.04,4,6,ERRO
2.92,4,6,MICRO
1.15,4,6,IMPRESSORA
7.03,4,6,BENNER
10.11,4,6,MICRO
1.07,4,6,IMPRESSORA
2.18,0,6,BENNER
3.1,4,6,SIHOSP
4.84,4,6,IMPRESSORA
11.11,4,6,MICRO
10.72,4,6,BENNER
2.02,4,6,MICRO
6.02,4,-1,IMPRESSORA
