TEMPO,TIPO,ANO
3.43,IMPRESSORA,2009
3.43,MICRO,2009
3.43,MICRO,2009
3.43,MICRO,2009
3.42,IMPRESSORA,2009
3.42,SIHOSP,2009
1.18,SIHOSP,2009
2.34,IMPRESSORA,2009
2.34,MICRO,2009
1.27,MICRO,2009
36.34,SIHOSP,2009
35.34,SIHOSP,2009
9.67,SIHOSP,2009
9.67,SIHOSP,2009
7.43,SIHOSP,2009
44.44,ERRO,2009
49.6,IMPRESSORA,2009
41.33,MICRO,2009
20.28,MICRO,2009
36.28,MICRO,2009
20.62,MICRO,2009
20.6,SIHOSP,2009
11.25,MICRO,2009
6.24,SIHOSP,2009
23.59,SIHOSP,2009
23.59,SIHOSP,2009
2.66,MICRO,2009
3.66,SIHOSP,2009
2.65,IMPRESSORA,2009
2.59,MICRO,2009
2.58,IMPRESSORA,2009
2.58,MICRO,2009
3.64,MICRO,2009
3.64,SIHOSP,2009
3.64,SIHOSP,2009
3.64,SIHOSP,2009
3.64,SIHOSP,2009
1.64,ERRO,2009
1.63,SIHOSP,2009
2.63,IMPRESSORA,2009
2.63,IMPRESSORA,2009
1.63,IMPRESSORA,2009
1.63,MICRO,2009
3.62,SIHOSP,2009
1.62,ERRO,2009
1.62,SIHOSP,2009
1.59,SIHOSP,2009
1.59,SIHOSP,2009
1.6,SIHOSP,2009
2.61,MICRO,2009
1.61,MICRO,2009
1.6,SIHOSP,2009
3.6,SIHOSP,2009
3.6,SIHOSP,2009
6.63,SIHOSP,2009
4.6,IMPRESSORA,2009
2.6,IMPRESSORA,2009
2.6,MICRO,2009
1.53,MICRO,2009
2.63,MICRO,2009
2.63,IMPRESSORA,2009
2.63,IMPRESSORA,2009
9.63,MICRO,2009
3.32,MICRO,2009
78.6,MICRO,2009
1.58,MICRO,2009
3.58,MICRO,2009
2.57,MICRO,2009
2.57,SIHOSP,2009
2.56,MICRO,2009
2.55,SIHOSP,2009
3.3,MICRO,2009
2.65,MICRO,2009
59.63,ACESSO,2009
2.62,MICRO,2009
3.61,ERRO,2009
2.55,MICRO,2009
2.52,SIHOSP,2009
2.52,IMPRESSORA,2009
4.33,ERRO,2009
54.32,ERRO,2009
2.62,IMPRESSORA,2009
9.62,IMPRESSORA,2009
9.62,SIHOSP,2009
2.61,MICRO,2009
1.61,SIHOSP,2009
9.61,MICRO,2009
2.51,MICRO,2009
1.5,SIHOSP,2009
1.5,MICRO,2009
9.6,MICRO,2009
2.6,MICRO,2009
9.6,IMPRESSORA,2009
9.6,IMPRESSORA,2009
9.6,IMPRESSORA,2009
9.6,MICRO,2009
9.59,MICRO,2009
9.59,MICRO,2009
9.59,SIHOSP,2009
3.55,MICRO,2009
2.54,IMPRESSORA,2009
2.54,IMPRESSORA,2009
1.49,IMPRESSORA,2009
2.49,MICRO,2009
2.48,MICRO,2009
9.58,SIHOSP,2009
2.58,MICRO,2009
2.58,MICRO,2009
9.57,MICRO,2009
2.53,MICRO,2009
2.53,SIHOSP,2009
3.53,ERRO,2009
61.66,MICRO,2009
2.52,MICRO,2009
10.51,MICRO,2009
2.51,MICRO,2009
2.5,IMPRESSORA,2009
2.46,SIHOSP,2009
3.46,MICRO,2009
3.45,MICRO,2009
3.45,MICRO,2009
1.33,IMPRESSORA,2009
3.48,MICRO,2009
3.48,MICRO,2009
1.47,ERRO,2009
4.47,MICRO,2009
2.47,IMPRESSORA,2009
10.49,ERRO,2009
10.49,ERRO,2009
9.49,MICRO,2009
9.49,MICRO,2009
3.46,MICRO,2009
3.46,MICRO,2009
3.52,MICRO,2009
3.51,IMPRESSORA,2009
3.51,MICRO,2009
3.49,SIHOSP,2009
3.49,IMPRESSORA,2009
3.49,MICRO,2009
3.48,MICRO,2009
50.6,ACESSO,2010
23.59,SIHOSP,2010
47.58,SIHOSP,2010
6.51,SIHOSP,2010
6.4,SIHOSP,2010
5.4,SIHOSP,2010
22.42,ERRO,2010
3.44,MICRO,2009
3.44,IMPRESSORA,2009
2.43,MICRO,2009
8.33,MICRO,2009
1.33,SIHOSP,2009
1.33,MICRO,2009
3.43,MICRO,2009
3.42,IMPRESSORA,2009
3.42,IMPRESSORA,2009
3.42,IMPRESSORA,2009
3.42,SIHOSP,2009
47.3,SIHOSP,2010
1.3,SIHOSP,2010
33.34,ERRO,2010
7.32,SIHOSP,2010
23.58,SIHOSP,2010
23.58,SIHOSP,2010
23.57,ERRO,2010
26.56,IMPRESSORA,2010
22.56,IMPRESSORA,2010
22.56,IMPRESSORA,2010
10.62,IMPRESSORA,2010
4.4,ERRO,2010
22.55,ACESSO,2010
4.39,ERRO,2010
14.31,IMPRESSORA,2010
22.49,MICRO,2010
9.44,ACESSO,2010
48.53,ERRO,2010
27.44,IMPRESSORA,2010
47.12,SIHOSP,2010
27.32,ERRO,2010
18.67,SIHOSP,2010
45.33,SIHOSP,2010
45.33,SIHOSP,2010
45.33,SIHOSP,2010
45.33,SIHOSP,2010
28.36,SIHOSP,2010
54.3,SIHOSP,2010
4.59,SIHOSP,2010
13.13,SIHOSP,2010
7.12,ERRO,2010
3.33,ERRO,2010
6.31,IMPRESSORA,2010
11.29,IMPRESSORA,2010
35.11,ACESSO,2010
13.11,ACESSO,2010
35.1,SIHOSP,2010
9.24,MICRO,2009
22.24,MICRO,2009
9.24,MICRO,2009
9.24,IMPRESSORA,2009
9.23,MICRO,2009
8.22,SIHOSP,2009
8.22,SIHOSP,2009
8.22,ACESSO,2009
32.66,IMPRESSORA,2010
8.66,ERRO,2010
1.65,ERRO,2010
25.09,MICRO,2010
22.27,MICRO,2009
9.26,MICRO,2009
9.26,MICRO,2009
32.66,ERRO,2010
6.1,ERRO,2010
13.11,ACESSO,2010
75.31,SIHOSP,2010
74.62,SIHOSP,2010
76.07,SIHOSP,2010
29.52,SIHOSP,2010
1.33,ACESSO,2010
21.34,IMPRESSORA,2010
19.34,IMPRESSORA,2010
3.3,ACESSO,2010
20.3,SIHOSP,2010
21.47,ERRO,2009
7.34,ERRO,2009
11.34,IMPRESSORA,2009
25.64,ERRO,2010
2.63,IMPRESSORA,2010
26.39,SIHOSP,2010
51.41,SIHOSP,2010
51.41,SIHOSP,2010
51.41,SIHOSP,2010
51.41,SIHOSP,2010
9.52,SIHOSP,2010
4.51,SIHOSP,2010
31.18,SIHOSP,2010
4.17,SIHOSP,2010
9.58,SIHOSP,2010
4.55,IMPRESSORA,2010
4.55,MICRO,2010
4.54,MICRO,2010
4.54,IMPRESSORA,2010
3.54,SIHOSP,2010
65.4,ERRO,2010
5.27,SIHOSP,2010
5.27,SIHOSP,2010
23.68,MICRO,2010
23.69,SIHOSP,2010
77.17,SIHOSP,2009
4.5,IMPRESSORA,2010
4.5,MICRO,2010
9.38,IMPRESSORA,2010
1.68,IMPRESSORA,2010
3.68,SIHOSP,2010
8.68,MICRO,2010
1.68,SIHOSP,2010
1.68,SIHOSP,2010
8.66,MICRO,2010
1.66,IMPRESSORA,2010
8.64,SIHOSP,2010
8.63,SIHOSP,2010
8.63,SIHOSP,2010
8.63,MICRO,2010
8.63,IMPRESSORA,2010
8.62,IMPRESSORA,2010
4.5,MICRO,2010
4.5,MICRO,2010
4.48,IMPRESSORA,2010
4.47,MICRO,2010
1.62,IMPRESSORA,2010
1.61,IMPRESSORA,2010
8.61,IMPRESSORA,2010
55.38,ACESSO,2010
92.65,SIHOSP,2010
1.5,SIHOSP,2010
4.47,MICRO,2010
4.47,IMPRESSORA,2010
4.47,MICRO,2010
5.46,SIHOSP,2010
4.46,MICRO,2010
4.46,SIHOSP,2010
5.46,SIHOSP,2010
12.14,SIHOSP,2010
4.45,SIHOSP,2010
9.45,SIHOSP,2010
17.45,SIHOSP,2010
4.43,IMPRESSORA,2010
4.43,IMPRESSORA,2010
7.43,MICRO,2010
4.43,MICRO,2010
4.42,MICRO,2010
28.31,MICRO,2010
79.3,SIHOSP,2010
91.39,SIHOSP,2009
4.64,MICRO,2010
67.63,SIHOSP,2010
16.32,ERRO,2010
16.31,ERRO,2010
9.16,IMPRESSORA,2010
6.15,MICRO,2010
9.65,ERRO,2010
8.21,SIHOSP,2010
8.21,SIHOSP,2010
31.21,SIHOSP,2010
57.63,ACESSO,2010
26.46,SIHOSP,2010
9.15,IMPRESSORA,2010
8.14,SIHOSP,2010
9.14,IMPRESSORA,2010
9.32,MICRO,2010
9.31,MICRO,2010
9.31,MICRO,2010
1.56,SIHOSP,2010
4.61,SIHOSP,2010
9.25,ERRO,2010
31.19,SIHOSP,2010
1.59,SIHOSP,2010
4.2,SIHOSP,2010
3.62,SIHOSP,2010
8.2,SIHOSP,2010
52.6,SIHOSP,2010
5.6,ERRO,2010
4.41,SIHOSP,2010
5.39,SIHOSP,2010
13.24,ACESSO,2010
3.53,MICRO,2010
5.34,MICRO,2010
8.58,SIHOSP,2010
3.56,IMPRESSORA,2010
3.56,IMPRESSORA,2010
3.56,IMPRESSORA,2010
3.56,IMPRESSORA,2010
69.29,ERRO,2010
11.28,SIHOSP,2010
3.54,MICRO,2010
3.54,MICRO,2010
3.54,IMPRESSORA,2010
3.54,MICRO,2010
3.53,MICRO,2010
3.53,MICRO,2010
3.53,MICRO,2010
13.65,ERRO,2010
4.32,ACESSO,2010
2.44,SIHOSP,2010
3.19,IMPRESSORA,2010
21.3,SIHOSP,2010
32.3,SIHOSP,2010
2.56,SIHOSP,2010
7.22,ERRO,2010
9.63,SIHOSP,2010
37.56,ERRO,2010
42.19,SIHOSP,2010
18.19,SIHOSP,2010
8.31,SIHOSP,2010
16.43,SIHOSP,2010
16.43,MICRO,2010
44.42,ERRO,2010
2.68,SIHOSP,2010
13.31,SIHOSP,2010
34.42,SIHOSP,2010
2.6,ERRO,2010
18.59,SIHOSP,2010
29.59,SIHOSP,2010
8.28,SIHOSP,2010
1.51,SIHOSP,2010
31.28,SIHOSP,2010
7.31,SIHOSP,2010
13.3,SIHOSP,2010
32.31,SIHOSP,2010
3.56,SIHOSP,2010
3.56,MICRO,2010
27.35,SIHOSP,2010
1.33,SIHOSP,2010
38.61,ERRO,2010
1.32,SIHOSP,2010
13.63,SIHOSP,2010
7.34,MICRO,2010
2.53,IMPRESSORA,2010
13.64,SIHOSP,2010
6.25,ERRO,2010
11.44,IMPRESSORA,2010
12.23,SIHOSP,2010
18.69,SIHOSP,2010
18.52,ERRO,2010
16.43,MICRO,2010
19.64,IMPRESSORA,2010
16.63,SIHOSP,2010
19.63,MICRO,2010
19.63,MICRO,2010
19.62,IMPRESSORA,2010
15.25,ERRO,2010
20.58,MICRO,2010
47.53,ERRO,2010
20.51,ERRO,2010
51.5,SIHOSP,2010
10.43,MICRO,2010
7.39,IMPRESSORA,2010
19.66,IMPRESSORA,2010
15.65,ERRO,2010
15.65,MICRO,2010
15.65,MICRO,2010
15.64,MICRO,2010
11.55,SIHOSP,2010
16.62,MICRO,2010
19.3,SIHOSP,2010
5.6,SIHOSP,2010
23.6,MICRO,2010
25.6,SIHOSP,2010
16.62,MICRO,2010
16.61,MICRO,2010
16.61,SIHOSP,2010
19.61,IMPRESSORA,2010
19.6,MICRO,2010
16.62,MICRO,2010
16.59,MICRO,2010
19.58,IMPRESSORA,2010
19.57,IMPRESSORA,2010
19.57,ERRO,2010
4.5,SIHOSP,2010
1.49,SIHOSP,2010
14.36,IMPRESSORA,2010
15.36,MICRO,2010
14.33,SIHOSP,2010
68.54,IMPRESSORA,2010
2.54,ERRO,2010
10.65,SIHOSP,2010
13.28,ERRO,2010
66.53,ERRO,2010
66.53,ERRO,2010
1.56,ERRO,2010
14.39,MICRO,2010
14.39,MICRO,2010
41.58,MICRO,2010
37.54,MICRO,2010
7.29,SIHOSP,2010
20.57,MICRO,2010
8.28,MICRO,2010
20.34,ACESSO,2010
2.53,ERRO,2010
2.3,ERRO,2010
14.58,MICRO,2010
20.31,SIHOSP,2010
6.62,ACESSO,2010
9.62,ERRO,2010
48.61,MICRO,2010
19.57,IMPRESSORA,2010
36.67,ERRO,2010
3.42,MICRO,2010
7.66,MICRO,2010
7.66,MICRO,2010
5.5,ERRO,2010
52.41,SIHOSP,2010
16.64,MICRO,2010
13.63,SIHOSP,2010
19.64,ACESSO,2010
19.63,MICRO,2010
52.41,MICRO,2010
52.4,MICRO,2010
19.54,SIHOSP,2010
1.55,MICRO,2010
55.55,MICRO,2010
18.6,SIHOSP,2010
25.62,IMPRESSORA,2010
2.62,SIHOSP,2010
2.62,SIHOSP,2010
2.61,SIHOSP,2010
2.61,IMPRESSORA,2010
2.61,IMPRESSORA,2010
2.61,IMPRESSORA,2010
25.61,MICRO,2010
6.34,SIHOSP,2010
1.57,IMPRESSORA,2010
10.36,MICRO,2010
10.63,ERRO,2010
67.53,SIHOSP,2010
25.62,MICRO,2010
2.6,IMPRESSORA,2010
2.6,IMPRESSORA,2010
25.6,IMPRESSORA,2010
25.6,IMPRESSORA,2010
25.6,MICRO,2010
2.59,MICRO,2010
25.59,IMPRESSORA,2010
2.59,MICRO,2010
2.59,IMPRESSORA,2010
1.59,SIHOSP,2010
2.59,MICRO,2010
42.51,SIHOSP,2010
12.52,ERRO,2010
2.58,MICRO,2010
2.58,MICRO,2010
25.56,MICRO,2010
25.56,IMPRESSORA,2010
27.61,ACESSO,2010
53.57,ACESSO,2010
28.55,ERRO,2010
3.37,MICRO,2010
2.42,IMPRESSORA,2010
22.41,MICRO,2010
2.68,IMPRESSORA,2010
2.68,MICRO,2010
5.68,MICRO,2010
2.66,MICRO,2010
5.66,MICRO,2010
79.66,MICRO,2010
2.66,MICRO,2010
10.63,SIHOSP,2010
30.63,SIHOSP,2010
16.41,MICRO,2010
2.66,MICRO,2010
2.65,IMPRESSORA,2010
45.39,SIHOSP,2010
1.42,SIHOSP,2010
1.42,SIHOSP,2010
13.67,MICRO,2010
12.57,ERRO,2010
3.51,ERRO,2010
7.65,IMPRESSORA,2010
4.64,ACESSO,2010
3.36,MICRO,2010
3.36,IMPRESSORA,2010
27.29,MICRO,2010
16.41,MICRO,2010
6.55,ACESSO,2010
40.4,ACESSO,2010
3.32,SIHOSP,2010
1.42,SIHOSP,2010
37.41,SIHOSP,2010
89.41,SIHOSP,2010
26.41,SIHOSP,2010
1.41,SIHOSP,2010
43.41,SIHOSP,2010
19.52,IMPRESSORA,2010
72.4,SIHOSP,2010
37.39,ERRO,2010
6.61,ERRO,2010
15.55,MICRO,2010
6.31,MICRO,2010
41.58,ERRO,2010
2.29,ACESSO,2010
26.29,ACESSO,2010
25.63,MICRO,2010
1.3,SIHOSP,2010
30.3,SIHOSP,2010
13.3,SIHOSP,2010
1.3,SIHOSP,2010
1.35,MICRO,2010
1.35,MICRO,2010
1.35,MICRO,2010
9.35,ERRO,2010
51.5,MICRO,2010
16.49,SIHOSP,2010
64.65,MICRO,2010
26.38,SIHOSP,2010
48.58,SIHOSP,2010
5.28,MICRO,2010
3.3,IMPRESSORA,2010
6.62,ERRO,2010
41.53,ERRO,2010
5.34,ACESSO,2010
79.58,SIHOSP,2010
24.63,ERRO,2010
35.44,ERRO,2010
2.58,ERRO,2010
20.45,IMPRESSORA,2010
32.58,ERRO,2010
1.61,SIHOSP,2010
28.3,BENNER,2010
58.6,MICRO,2010
37.43,MICRO,2010
38.44,ACESSO,2010
24.42,ERRO,2010
37.43,MICRO,2010
8.42,MICRO,2010
8.41,SIHOSP,2010
24.4,ERRO,2010
15.56,ERRO,2010
14.36,SIHOSP,2010
19.35,MICRO,2010
32.31,MICRO,2010
57.36,SIHOSP,2010
20.41,MICRO,2010
11.34,MICRO,2010
4.55,ERRO,2010
74.5,SIHOSP,2010
2.54,ERRO,2010
